TaskType_id,Delivery_Dt,Dept_Name,Route_seq,Car_licence,Store_id,Store_Name,Pl_M_Arrive_dt,Ac_Arrive_dt_02,source_file,X,Y
4,2025-02-05,瑞芳DC,YI17,KPD3802,1001021863,基隆中山店,2025-02-05 14:48:00,2025-02-05 17:01:34,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI18,KPD3802,1001023135,基隆華復店,2025-02-05 14:48:00,2025-02-05 17:18:33,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI19,KPD3802,1001010822,基隆經國店,2025-02-05 14:48:00,2025-02-05 17:25:13,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI20,KPD3802,1001023325,基隆鑫橫濱店,2025-02-05 14:48:00,2025-02-05 17:31:12,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI21,KPD3802,1001019438,基隆新復興店,2025-02-05 14:48:00,2025-02-05 17:38:18,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI22,KPD3802,1001015669,基隆樂華店,2025-02-05 14:48:00,2025-02-05 17:44:30,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI23,KPD3802,1001021599,基隆囍旺店,2025-02-05 14:48:00,2025-02-05 17:51:27,route_Car_KPD3802.csv,,
4,2025-02-05,瑞芳DC,YI24,KPD3802,1001021686,基隆鑫大慶店,2025-02-05 14:48:00,2025-02-05 18:05:35,route_Car_KPD3802.csv,,
4,2025-02-06,瑞芳DC,YJ18,KPD3802,1001024003,舊莊店,2025-02-06 16:44:00,2025-02-06 17:05:09,route_Car_KPD3802.csv,,
4,2025-02-12,瑞芳DC,WF06,KPD3802,1001017138,巨星超市店,2025-02-12 10:21:00,2025-02-12 11:48:38,route_Car_KPD3802.csv,,
4,2025-02-12,瑞芳DC,WF07,KPD3802,1001024143,小巨蛋二店,2025-02-12 10:21:00,2025-02-12 11:48:38,route_Car_KPD3802.csv,,
4,2025-02-12,瑞芳DC,WF11,KPD3802,1001023803,鑫中崙店,2025-02-12 10:21:00,2025-02-12 12:31:46,route_Car_KPD3802.csv,,
4,2025-02-13,瑞芳DC,WF06,KPD3802,1001017138,巨星超市店,2025-02-13 09:20:00,2025-02-13 11:47:24,route_Car_KPD3802.csv,,
4,2025-02-13,瑞芳DC,WF07,KPD3802,1001024143,小巨蛋二店,2025-02-13 09:20:00,2025-02-13 11:47:24,route_Car_KPD3802.csv,,
4,2025-02-13,瑞芳DC,WF11,KPD3802,1001023803,鑫中崙店,2025-02-13 09:20:00,2025-02-13 12:25:36,route_Car_KPD3802.csv,,
