name,tel,address,商店編號,lng,lat,X,Y
全家泰山白金店,222979409,新北市泰山區仁愛路１０８號１樓,50083,121.4333566,25.0554667,341134.749,2772247.772
全家泰山同興店,229007443,新北市泰山區仁義路２２０巷２號、８號１樓,12965,121.4330676,25.0538289,341103.491,2772066.712
全家泰山福興店,285311767,新北市泰山區同興里福興一街６０號一樓,10262,121.4326347,25.0582275,341065.461,2772554.393
全家泰山辭修店,222971269,新北市泰山區明志路一段３７４號１樓,10842,121.4306975,25.0578792,340869.575,2772518.083
全家泰山工專店,229046856,新北市泰山區明志路三段１７０號,11211,121.4242755,25.0392045,340197.583,2770457.26
全家泰山銘志店,229095501,新北市泰山區明志路二段２３６號一樓,60028,121.4270574,25.0480071,340489.619,2771428.944
全家泰山明豐店,229048829,新北市泰山區明志路二段３８３號１樓,12685,121.4251018,25.0436971,340286.75,2770953.877
全家泰山新義學店,229097397,新北市泰山區明志路二段５３號１樓,60534,121.4293679,25.0527231,340728.803,2771948.566
全家泰山民權店,222968230,新北市泰山區民權路２９號１樓,12271,121.4288654,25.0507215,340675.53,2771727.464
全家泰山新泰林店,229000777,新北市泰山區泰林路二段１０７號１樓,54432,121.4345911,25.0591025,341263.959,2772649.02
全家泰山麗池店,229007046,新北市泰山區泰林路二段５１８號,12173,121.4241979,25.0639593,340221.693,2773199.124
全家泰山黎明店,222979445,新北市泰山區泰林路二段５７５號、５７７號１樓,12896,121.4222569,25.0634269,340025.192,2773142.44
全家泰山憲訓店,229005487,新北市泰山區泰林路２段３６４號１樓,16358,121.428661,25.063829,340671.775,2773179.452
全家泰山新貴子店,229036660,新北市泰山區貴子路３８號１樓,53058,121.4261388,25.0416863,340388.792,2770729.949
全家泰山新輔醫店,229014162,新北市泰山區貴子路６９號Ｂ１,62305,121.4312141,25.0400631,340898.811,2770544.222
