name,tel,address,商店編號,lng,lat,X,Y
全家明曜店,227780326,台北市大安區仁愛路四段１５１巷３４號．３６號,11901,121.5516555,25.0405267,353051.933,2770460.098
全家國泰店,227542056,台北市大安區仁愛路四段２６６巷１５弄１０號１樓,12742,121.5535193,25.0365427,353235.271,2770016.848
全家吉泰店,227001566,台北市大安區仁愛路四段３００巷１１之１號,51421,121.5546715,25.0369724,353352.038,2770063.196
全家仁慈店,227089002,台北市大安區仁愛路四段４８巷６號,10086,121.5470275,25.0371082,352580.912,2770086.495
全家忠愛店,227314580,台北市大安區仁愛路４段２７巷４３號,14560,121.5452829,25.0410747,352409.602,2770527.687
全家金信店,223587145,台北市大安區信義路二段１０４號１樓,55507,121.527538,25.0338325,350610.448,2769744.952
全家義和店,227047661,台北市大安區信義路四段２６５巷８號,53348,121.5541698,25.0337519,353297.606,2769707.058
全家義安店,227015844,台北市大安區信義路四段８８號（部分）,53796,121.5475804,25.0330241,352631.846,2769633.57
全家義興店,227048404,台北市大安區信義路４段１之１０．１之１１號,14506,121.5441502,25.0335261,352286.322,2769692.886
全家華視店,227310238,台北市大安區光復南路１１６巷２６號,14497,121.5565761,25.0429093,353551.227,2770718.673
全家國父紀念館店,227755468,台北市大安區光復南路２９２號（範圍如附圖）,58222,121.557358,25.0392336,353625.778,2770310.738
全家光新店,227849586,台北市大安區光復南路４１８號,11234,121.5573165,25.0365381,353618.408,2770012.249
全家台師店,223682773,台北市大安區和平東路一段１６２號,56569,121.5270005,25.0256415,350546.342,2768838.36
全家和茂店,227371408,台北市大安區和平東路三段５８號１樓,53269,121.548167,25.024361,352680.748,2768673.472
全家和東店,227324425,台北市大安區和平東路二段１０２之３號１樓,11020,121.5417603,25.0249196,352034.904,2768742.286
全家國立教育店,227325341,台北市大安區和平東路二段１３４號１樓,62801,121.5464801,25.0234536,352509.442,2768574.801
全家和新店,283691009,台北市大安區和平東路二段２２號,11205,121.536271,25.025621,351481.812,2768825.945
全家和復店,227540370,台北市大安區和平東路二段２６１號，２６３號,11572,121.5439412,25.0249481,352255.015,2768743.074
全家成功店,227550428,台北市大安區和平東路二段３１１巷３２號,10552,121.5450559,25.0256433,352368.328,2768818.86
全家台科店,227384936,台北市大安區基隆路４段４３號地下一樓第三餐廳,58658,121.5410802,25.0119407,351950.791,2767305.575
全家大安店,227117896,台北市大安區大安路一段２０號,10076,121.5460856,25.0440921,352494.183,2770861.003
全家和信店,227556391,台北市大安區安和路一段１０４號,56909,121.552268,25.034158,353106.189,2769754.085
全家敦安店,227019097,台北市大安區安和路一段１１２巷２７號,10038,121.5503778,25.0340368,352915.317,2769742.703
全家安富店,227755484,台北市大安區安和路一段４９巷１０號,58248,121.5517087,25.0384537,353054.844,2770230.45
全家東方店,227039578,台北市大安區安和路二段１０巷１０號壹樓及地下室,50625,121.5516969,25.032496,353046.593,2769570.631
全家樂和店,227329745,台北市大安區安和路二段１６９號,56351,121.5501796,25.0281922,352888.386,2769095.612
全家安居店,227375452,台北市大安區安居街７６號,10121,121.5533299,25.0196611,353196.183,2768147.371
全家師大店,223918196,台北市大安區師大路７９號,10051,121.5285941,25.0233969,350704.452,2768588.015
全家延安二店,287717379,台北市大安區延吉街１３０號,53434,121.5547133,25.0401385,353360.0,2770413.805
全家延孝店,227405319,台北市大安區延吉街１３５號之三，一樓,10564,121.554397,25.0423395,353330.69,2770657.913
全家延安店,287716553,台北市大安區延吉街１５８號,11636,121.5548506,25.0395322,353373.137,2770346.508
全家北科店,227762695,台北市大安區建國南路一段８１號,56573,121.537739,25.0435178,351651.361,2770806.472
全家建國店,227540801,台北市大安區建國南路二段１５１巷３８號１樓,10823,121.5392359,25.028656,351784.629,2769158.849
全家建南店,227318185,台北市大安區建國南路１段１５６，１５８號,14424,121.536824,25.0411955,351556.26,2770550.268
全家興忠店,227419504,台北市大安區復興南路一段２００號,10258,121.5434452,25.0397231,352222.571,2770379.988
全家興仁店,287732350,台北市大安區復興南路一段２１７號,11029,121.5439589,25.0390985,352273.658,2770310.254
全家復豪店,227098606,台北市大安區復興南路一段３６２號,61762,121.543307,25.035221,352203.26,2769881.517
全家興和店,227845780,台北市大安區復興南路二段１５３號,12065,121.5437837,25.0282649,352243.073,2769110.59
