name,tel,address,商店編號,lng,lat,X,Y
全家永和正新店,229464214,新北市永和區中正路２７８號１樓,50938,121.5168544,24.9986623,349489.774,2765861.494
全家永和正得店,229200317,新北市永和區中正路３４２號一樓,56282,121.517889,25.0002651,349596.14,2766037.867
全家永和大福店,229254322,新北市永和區中正路６０８．６１０．６１０之１號,12962,121.5172097,25.0072004,349535.982,2766806.725
全家永和鼎豐店,229200709,新北市永和區中興街７號１樓,54877,121.5156941,25.0121041,349388.968,2767351.502
全家永和耕莘店,229240539,新北市永和區中興街９５號１樓,14542,121.5177998,25.012069,349601.438,2767345.288
全家永和新仁愛店,286609734,新北市永和區仁愛路１０３號１樓,55290,121.5124423,25.0130224,349061.905,2767456.807
全家永和保順店,289213384,新北市永和區仁愛路２８２巷１號１樓,61940,121.5030874,25.0088528,348112.688,2767005.407
全家永和仁和店,232330262,新北市永和區仁愛路３３號,11302,121.5142067,25.0132306,349240.224,2767477.912
全家永和新仁店,286602630,新北市永和區仁愛路３５２巷９４號、９６號,51216,121.5010667,25.0079569,347907.65,2766908.438
全家永和樂華店,229264823,新北市永和區保平路１８巷１２號１樓,50270,121.5121516,25.0079594,349026.409,2766896.384
全家永和羅鄰店,229293596,新北市永和區保平路２６８巷２５號１樓,16670,121.5078842,25.0057491,348593.021,2766656.321
全家永和仁保店,229285824,新北市永和區保福路二段１０３號１樓,53293,121.5102965,25.0132266,348845.595,2767481.803
全家永和國和店,229281175,新北市永和區國中路８６巷２號,19622,121.5248394,25.0059336,350304.492,2766658.018
全家永和新樂新店,286607125,新北市永和區大新街３號１樓,55532,121.514618,25.0086499,349276.171,2766970.128
全家永和得和店,229416037,新北市永和區得和路３７２號,10136,121.5248487,24.998609,350296.6,2765846.785
全家永和得元店,229265391,新北市永和區得和路３７３巷２９號,19773,121.5249522,25.0003037,350309.09,2766034.365
全家永和頂溪店,229262511,新北市永和區復興街３號,12089,121.5157707,25.0129579,349397.734,2767445.979
全家永和秀成店,229215822,新北市永和區成功路一段１３７，１３９號,11172,121.5269594,25.0014988,350513.119,2766164.523
全家永和田單店,229432844,新北市永和區成功路二段１５７號１樓,14397,121.526792,24.9974156,350491.307,2765712.479
全家永和文化店,286604492,新北市永和區文化路１８，２０，２２號１樓,10863,121.5153511,25.015153,349358.052,2767689.559
全家永和新民有店,229495196,新北市永和區民有街６５號,63117,121.5177874,24.9959383,349580.645,2765558.772
全家永和國艷店,229232783,新北市永和區民樂街３９巷２號１樓,12984,121.5276905,25.0002331,350585.386,2766023.541
全家永和騎士店,289433594,新北市永和區民權路５３號１樓,15213,121.5199732,24.9967876,349802.297,2765650.424
全家永和教室店,289418262,新北市永和區民生路６５號１樓及地下室,55942,121.5228142,24.9973264,350089.704,2765706.97
全家永和維源店,289230231,新北市永和區水源街３９巷２號,16612,121.5103096,25.0041982,348835.923,2766481.859
全家永和永亨店,229208853,新北市永和區永亨路６２號、６４號、６６號１樓,14553,121.5206817,25.0061136,349885.084,2766682.528
全家永和永福店,229234354,新北市永和區永和路一段９３號,10077,121.5135674,25.0076798,349168.96,2766863.848
全家永和永復店,229286095,新北市永和區永和路二段３１６號１樓,53481,121.5163209,25.0161815,349457.172,2767802.396
全家永和永平店,286603548,新北市永和區永平路２３２號,10883,121.5087874,25.0109523,348690.522,2767231.591
全家永和保平店,289231532,新北市永和區永貞路３５４號，３５６號,11918,121.5103211,25.006498,348839.884,2766736.558
全家永和保安店,229207792,新北市永和區永貞路３８７號,50490,121.507976,25.0086185,348605.786,2766974.016
全家永和環東店,289278437,新北市永和區環河東路一段１２２號，１２４號,12024,121.5204887,25.0153834,349876.817,2767709.403
全家永和水悅店,229267011,新北市永和區環河西路一段８３號１．２樓,50121,121.5128656,25.0179902,349110.665,2768006.541
全家永和環河店,232339160,新北市永和區環河西路二段２１９號，２２１號,11924,121.5011544,25.0102332,347919.29,2767160.449
全家永和福和店,229213528,新北市永和區福和路１７３．１７５號,11693,121.5200815,25.0075566,349826.253,2766843.007
全家永和新廷店,229203971,新北市永和區福和路３２０號１樓,52447,121.5157082,25.0073505,349384.623,2766825.009
全家永和新富店,289215154,新北市永和區福和路５７巷１４弄２號１樓,53482,121.5228621,25.0072672,350106.539,2766807.893
全家永和復興店,229254364,新北市永和區秀朗路一段１８６號１Ｆ,10684,121.5190529,25.0031749,349717.137,2766358.853
全家永和秀和店,229280903,新北市永和區秀朗路一段７６、７８號,11235,121.5154439,25.0059111,349356.201,2766665.882
全家永和御林店,289250327,新北市永和區竹林路２１３巷４４號１樓,15150,121.5231679,25.0090242,350139.523,2767002.15
全家永和竹勝店,289258511,新北市永和區竹林路２１５號１樓,59128,121.520967,25.0088025,349917.129,2766980.019
全家永和永林店,289274417,新北市永和區竹林路３７號,11735,121.5178937,25.0143105,349613.63,2767593.439
