name,tel,address,商店編號,lng,lat,X,Y
全家基隆車站店,224259160,基隆市仁愛區中山一路１６之１號,58683,121.738533,25.1318639,372001.491,2780386.737
全家基隆仁三店,224286905,基隆市仁愛區仁三路５９號壹樓,57147,121.7421015,25.128858,372358.156,2780050.478
全家基隆鑫仁二店,224259022,基隆市仁愛區仁二路１９８號壹樓及地下室,59621,121.7450301,25.1287504,372653.308,2780035.811
全家基隆仁四店,224265932,基隆市仁愛區仁四路５２號１樓,18684,121.7413363,25.1283829,372280.517,2779998.581
全家基隆廟口店,224289166,基隆市仁愛區仁德里仁三路３３號一樓,15829,121.7429362,25.1284177,372441.857,2780000.931
全家基隆劉銘傳店,224259272,基隆市仁愛區劉銘傳路１５號壹樓,61602,121.7509578,25.1274916,373249.651,2779890.854
全家基隆鑫忠孝店,224287939,基隆市仁愛區孝三路５４號壹樓,58791,121.7395398,25.1300636,372101.132,2780186.407
全家基隆新站前店,224273646,基隆市仁愛區忠一路１９號,18828,121.7397933,25.131305,372127.974,2780323.652
全家基隆鑫忠二店,224259100,基隆市仁愛區忠二路１５號壹樓,59391,121.7400471,25.1299367,372152.146,2780171.875
全家基隆仁愛店,224259270,基隆市仁愛區愛四路５６號１樓及夾層,53146,121.7441457,25.1290276,372564.428,2780067.34
全家基隆精一店,224249183,基隆市仁愛區精一路４１號１樓,10763,121.7411685,25.125949,372261.084,2779729.188
