name,tel,address,商店編號,lng,lat,X,Y
全家林口洪福店,226061202,新北市林口區下福里１１鄰１４７號之１,51082,121.35275,25.12821,333100.558,2780401.464
全家林口麗林店,226024790,新北市林口區中山路５２２號１樓,14270,121.37867,25.0836316,335654.818,2775432.314
全家林口南林店,226010881,新北市林口區中山路５５５號,19178,121.380885,25.0815722,335875.508,2775201.538
全家林口正林店,226019763,新北市林口區中正路１００號１樓,60686,121.3936077,25.0773399,337153.267,2774717.456
全家林口中正店,226015562,新北市林口區中正路２６６號,10649,121.3893902,25.0777911,336728.432,2774772.494
全家林口正新店,226017615,新北市林口區中正路５１號１樓,62251,121.3955568,25.0774115,337349.972,2774723.05
全家林口菁埔店,226017544,新北市林口區仁愛路一段２９２號,15413,121.3926428,25.0763786,337054.669,2774612.141
全家林口新高中店,286012624,新北市林口區仁愛路二段１５６號１樓,53420,121.3817533,25.0743483,335953.511,2774400.376
全家林口新創園店,286018695,新北市林口區仁愛路二段４９６號１樓,63032,121.3761224,25.0760016,335387.691,2774590.307
全家林口文園店,226090261,新北市林口區公園路１７８號１樓,50191,121.37299,25.0727427,335067.366,2774233.154
全家林口南勢店,226007216,新北市林口區南勢街２２８號１樓,19277,121.3593916,25.0753071,333699.043,2774533.769
全家林口忠一店,226009084,新北市林口區忠孝一路２６號１樓,62869,121.3636608,25.0732126,334126.892,2774296.562
全家林口忠孝店,226085421,新北市林口區忠孝路６０１號,11680,121.3781115,25.068562,335578.452,2773763.895
全家林口住都店,226068053,新北市林口區文化一路一段１６６－１號１樓,58447,121.3769792,25.0735194,335470.818,2774314.343
全家林口廣場店,226069860,新北市林口區文化三路一段２２３號一樓,54859,121.3625829,25.070789,334014.904,2774029.442
全家林口幸福店,226098325,新北市林口區文化三路一段３５號１樓,51423,121.3608866,25.0666834,333838.269,2773576.781
全家林口影城店,226090534,新北市林口區文化三路一段４０６號１樓,54003,121.3682135,25.0742368,334587.524,2774404.449
全家林口新都店,226009183,新北市林口區文化三路一段５５７號．５５９號１樓,16970,121.3701023,25.0761225,334780.578,2774611.009
全家林口菁英店,226089574,新北市林口區文化三路１段１２１號１樓,57041,121.3617619,25.0621241,333920.452,2773070.724
全家林口文化店,226083394,新北市林口區文化二路一段６８巷１號１樓,61901,121.3660902,25.0689321,334366.231,2773819.491
全家林口隆林店,226022405,新北市林口區文化二路二段９０．９２號,16886,121.3789184,25.0812373,335676.692,2775166.823
全家林口樂活店,226089613,新北市林口區文化二路１段２６９號１樓,56942,121.3679682,25.0708555,334558.257,2774030.237
全家林口醒吾店,226031858,新北市林口區東林村粉寮路１段６６號１樓,10547,121.3881378,25.0790108,336603.71,2774909.093
全家林口工六店,226016951,新北市林口區東林里工六路７８號,11096,121.4003545,25.0770773,337833.49,2774680.298
全家林口竹林店,226024731,新北市林口區林口路１２６號１Ｆ,10808,121.3885,25.0816879,336643.782,2775205.17
全家林口采都店,226005775,新北市林口區民族路８６號１樓,59033,121.3662005,25.0755197,334386.178,2774548.996
全家林口文義店,226090866,新北市林口區湖南里信義路２８９號,53513,121.3754147,25.0819734,335324.254,2775252.598
全家林口國宅店,226081140,新北市林口區麗園一街４巷１號１之４,12594,121.3763975,25.0709608,335408.734,2774031.659
