name,tel,address,商店編號,lng,lat,X,Y
全家金天玉店,228724513,台北市士林區中山北路七段８１巷８號１樓,61338,121.5306336,25.1218824,351028.839,2779493.439
全家天強店,228317990,台北市士林區中山北路六段２３８號壹樓,54985,121.5254958,25.1090163,350495.214,2778074.109
全家榮富店,228768631,台北市士林區中山北路六段７２６號北側,52924,121.5279258,25.1150981,350747.608,2778745.022
全家仰德大樓店,228383850,台北市士林區中山北路六段８８號地下室,61289,121.5257708,25.0841044,350492.826,2775314.703
全家士林店,228348066,台北市士林區中山北路５段６９７號,18702,121.5271204,25.0976484,350645.308,2776813.275
全家士商店,228838435,台北市士林區中正路５０３號,50120,121.5180117,25.0916805,349719.423,2776162.352
全家福港店,228804266,台北市士林區前港街１２６號,10690,121.5178463,25.0851784,349694.84,2775442.398
全家大港店,228832065,台北市士林區前港街３９號,14157,121.5215497,25.084872,350068.002,2775404.37
全家基河店,228837080,台北市士林區基河路１２８號１樓,62646,121.5232666,25.0885792,350245.662,2775813.065
全家芝玉店,228343943,台北市士林區士東路２６６巷５弄１６號,14445,121.537499,25.112386,351709.691,2778434.15
全家新士誠店,228314357,台北市士林區士東路８６號壹樓,57575,121.5288289,25.1120044,350834.94,2778401.388
全家華港店,228810722,台北市士林區大南路２３１號,50378,121.5209461,25.0883772,350011.372,2775793.253
全家新天地店,228811327,台北市士林區大南路３４６號１樓,62320,121.5176112,25.0891006,349675.894,2775877.06
全家大南店,228833976,台北市士林區大南路５２號,10923,121.5249323,25.0894468,350414.713,2775907.32
全家大東店,228834125,台北市士林區大東路６３號１樓,59959,121.5254773,25.09013,350470.507,2775982.387
全家天山店,228769215,台北市士林區天母東路６９巷１１之９號１樓,19229,121.533781,25.119507,351343.338,2779226.9
全家新磺溪店,228767673,台北市士林區天母西路４０－２號１樓,54429,121.5258285,25.1184042,350540.122,2779113.497
全家天成店,228747141,台北市士林區天福里天母東路３６號之５，之６,16606,121.5326821,25.1179057,351230.603,2779050.753
全家新延店,228113485,台北市士林區延平北路五段２１７號１樓,60510,121.5098419,25.0839899,348886.043,2775319.647
全家葫蘆店,288114965,台北市士林區延平北路五段２８３之１號,11871,121.5094807,25.085615,348851.597,2775500.036
全家社子島店,228105039,台北市士林區延平北路八段１０５號１樓,61646,121.483407,25.1057775,346246.808,2777762.419
全家德行店,228314191,台北市士林區德行東路１０９巷３號,11396,121.5281936,25.1078808,350765.896,2777945.379
全家德忠店,228318420,台北市士林區德行東路１０９巷７５號壹樓,52932,121.5284697,25.1100775,350796.391,2778188.37
全家新芝蘭店,228345602,台北市士林區德行東路２８２號１樓,63061,121.5357928,25.1099374,351534.697,2778164.822
全家新天和店,228723753,台北市士林區忠誠路二段１６８號１樓,54186,121.5331645,25.1156536,351276.535,2778800.794
全家誠德店,228344780,台北市士林區忠誠路二段５號１樓,56412,121.5306097,25.1087688,351010.615,2778041.074
全家新蘭雅店,228314977,台北市士林區忠誠路二段５２號壹樓及地下室部份,54987,121.5303818,25.1108839,350990.183,2778275.581
全家文鑫店,228816801,台北市士林區文林路２０５號１樓及地下室,58442,121.5270008,25.0901023,350624.131,2775977.643
全家新格致店,228623855,台北市士林區格致路５３號１樓,55430,121.5464251,25.1377253,352640.034,2781230.859
全家鑫社店,228112859,台北市士林區社中街２８０號１樓及２樓,59595,121.5062323,25.0920812,348531.875,2776219.819
全家社中店,228132673,台北市士林區社中街３８６號,18803,121.5034501,25.0922812,348251.515,2776245.076
全家永新店,228113436,台北市士林區社子街２７號,11080,121.5079657,25.0876678,348701.301,2775729.081
全家社正店,288115530,台北市士林區社正路２６號１樓,59896,121.5095614,25.088659,348863.456,2775837.084
全家福林店,288611682,台北市士林區福林里中正路２３３號，２３３之１號,12034,121.526009,25.095213,350530.277,2776544.766
全家百齡店,228834606,台北市士林區福港街１５８－１號,50535,121.5177486,25.0871572,349687.39,2775661.667
全家和豐店,228813084,台北市士林區福華里和豐街２號一樓,15638,121.5193393,25.0828021,349842.543,2775177.561
全家天文店,228319102,台北市士林區美崙街１１８號,16316,121.5195316,25.0970573,349879.243,2776756.177
全家至善店,228414153,台北市士林區臨溪里至善路二段２６８號一樓,12950,121.5510549,25.1004577,353062.481,2777098.301
全家中影店,228839581,台北市士林區至善路二段３４號,19226,121.5448055,25.0968984,352427.986,2776710.873
全家美崙店,228346427,台北市士林區華榮街９７號,10246,121.5231683,25.0971113,350246.08,2776758.142
全家通河店,228858507,台北市士林區通河街１４５號,11036,121.5207014,25.0810371,349977.79,2774980.575
全家新葫東店,228162923,台北市士林區重慶北路四段１８４號１樓,54213,121.511996,25.084562,349104.011,2775380.615
全家致昇店,228385392,台北市士林區雨聲街３６號１樓,57718,121.529215,25.102078,350861.896,2777301.57
